ItemIdentifier,ItemWeight,ItemFatContent,ItemVisibility,ItemType,ItemMRP,OutletIdentifier,OutletSize,OutletLocationType,OutletType,YearsSinceEstablishment
FDX24,8.355,1,0.013917468,5,92.5462,OUT013,3,Tier 3,Supermarket Type1,37
FDZ02,6.905,2,0.038140213,6,96.3726,OUT035,1,Tier 2,Supermarket Type1,20
FDO16,5.48,1,0.015105338,4,84.625,OUT035,1,Tier 2,Supermarket Type1,20
FDC60,5.425,2,0.114650377,5,87.3514,OUT049,2,Tier 1,Supermarket Type1,25
FDA48,12.1,1,0.115342009,5,220.2114,OUT018,2,Tier 3,Supermarket Type2,15
FDW23,5.765,1,0.082346376,5,38.8164,OUT018,2,Tier 3,Supermarket Type2,15
FDM14,13.8,1,0.013318,12,110.1254,OUT018,2,Tier 3,Supermarket Type2,15
FDM14,13.8,1,0.01325293,12,108.2254,OUT013,3,Tier 3,Supermarket Type1,37
FDW60,5.44,2,0.017131453,5,177.837,OUT018,2,Tier 3,Supermarket Type2,15
FDE21,12.8,1,0.022925594,2,116.4492,OUT013,3,Tier 3,Supermarket Type1,37
NCM42,6.13,1,0.028316137,3,109.3912,OUT035,1,Tier 2,Supermarket Type1,20
DRI49,14.15,1,0.1837926,8,81.3276,OUT049,2,Tier 1,Supermarket Type1,25
FDQ22,16.75,1,0.029860799,1,39.5822,OUT018,2,Tier 3,Supermarket Type2,15
FDR60,14.3,1,0.130617879,5,76.5328,OUT049,2,Tier 1,Supermarket Type1,25
FDV24,5.635,1,0.103186396,5,151.805,OUT013,3,Tier 3,Supermarket Type1,37
FDQ47,7.155,2,0.168186376,9,36.5874,OUT046,1,Tier 1,Supermarket Type1,27
DRN36,15.2,1,0.050255855,8,97.3752,OUT049,2,Tier 1,Supermarket Type1,25
NCY06,15.25,1,0.061173235,3,128.5968,OUT035,1,Tier 2,Supermarket Type1,20
FDE52,10.395,2,0.029881147,6,89.5514,OUT035,1,Tier 2,Supermarket Type1,20
NCF31,9.13,1,0.051837621,3,152.6024,OUT035,1,Tier 2,Supermarket Type1,20
FDL46,20.35,1,0.0,1,118.9466,OUT049,2,Tier 1,Supermarket Type1,25
DRM11,6.57,1,0.066057085,8,259.3278,OUT035,1,Tier 2,Supermarket Type1,20
NCH07,13.15,1,0.093044518,3,158.4604,OUT018,2,Tier 3,Supermarket Type2,15
FDS23,4.635,1,0.140771867,9,129.4994,OUT013,3,Tier 3,Supermarket Type1,37
FDO49,10.6,2,0.033186809,11,49.1008,OUT018,2,Tier 3,Supermarket Type2,15
FDS35,9.3,1,0.11139344,9,65.2826,OUT049,2,Tier 1,Supermarket Type1,25
DRI39,13.8,1,0.097212998,6,58.293,OUT049,2,Tier 1,Supermarket Type1,25
NCN14,19.1,1,0.091900406,12,182.5608,OUT035,1,Tier 2,Supermarket Type1,20
FDH08,7.51,1,0.017414576,2,231.101,OUT013,3,Tier 3,Supermarket Type1,37
FDS20,8.85,1,0.053866912,2,183.0292,OUT046,1,Tier 1,Supermarket Type1,27
FDV40,17.35,1,0.014714625,4,75.4038,OUT049,2,Tier 1,Supermarket Type1,25
FDK44,16.6,1,0.122417514,2,174.3738,OUT049,2,Tier 1,Supermarket Type1,25
FDH08,7.51,1,0.017500079,2,228.801,OUT018,2,Tier 3,Supermarket Type2,15
FDC09,15.5,2,0.026297031,2,102.7332,OUT035,1,Tier 2,Supermarket Type1,20
FDF50,4.905,1,0.117808305,12,198.5768,OUT018,2,Tier 3,Supermarket Type2,15
FDG28,9.285,2,0.049270974,4,243.9144,OUT035,1,Tier 2,Supermarket Type1,20
NCN18,8.895,1,0.0,3,110.9544,OUT049,2,Tier 1,Supermarket Type1,25
FDF32,16.35,1,0.068068082,2,199.1426,OUT035,1,Tier 2,Supermarket Type1,20
FDF11,10.195,2,0.01761655,10,239.4538,OUT013,3,Tier 3,Supermarket Type1,37
DRI59,9.5,1,0.040898157,8,225.2088,OUT049,2,Tier 1,Supermarket Type1,25
NCG54,12.1,1,0.079791176,3,169.5106,OUT035,1,Tier 2,Supermarket Type1,20
FDM44,12.5,1,0.031049674,2,101.399,OUT046,1,Tier 1,Supermarket Type1,27
FDT57,15.2,1,0.019112323,1,236.2248,OUT018,2,Tier 3,Supermarket Type2,15
FDV24,5.635,1,0.103272336,5,151.205,OUT046,1,Tier 1,Supermarket Type1,27
FDS09,8.895,2,0.081073148,1,51.2008,OUT035,1,Tier 2,Supermarket Type1,20
FDZ56,16.25,1,0.02573698,2,169.3474,OUT046,1,Tier 1,Supermarket Type1,27
FDA56,9.21,1,0.00880049,2,123.0414,OUT018,2,Tier 3,Supermarket Type2,15
FDN27,20.85,1,0.039562497,7,118.1808,OUT046,1,Tier 1,Supermarket Type1,27
FDM20,10.0,1,0.038745948,2,245.0144,OUT049,2,Tier 1,Supermarket Type1,25
FDL03,19.25,2,0.027075481,7,195.611,OUT035,1,Tier 2,Supermarket Type1,20
FDE58,18.5,1,0.052068722,1,117.0124,OUT046,1,Tier 1,Supermarket Type1,27
FDR03,15.7,2,0.008771522,7,205.798,OUT018,2,Tier 3,Supermarket Type2,15
FDR45,10.8,1,0.028919203,1,240.9222,OUT013,3,Tier 3,Supermarket Type1,37
FDL26,18.0,1,0.07319282,12,154.2972,OUT046,1,Tier 1,Supermarket Type1,27
NCZ42,10.5,1,0.011287929,3,238.9248,OUT046,1,Tier 1,Supermarket Type1,27
FDW40,14.0,2,0.105057952,4,141.1812,OUT013,3,Tier 3,Supermarket Type1,37
FDN34,15.6,2,0.0,1,169.2132,OUT046,1,Tier 1,Supermarket Type1,27
FDS01,11.6,1,0.017741644,12,178.3686,OUT035,1,Tier 2,Supermarket Type1,20
FDC11,20.5,1,0.141766029,10,87.4172,OUT035,1,Tier 2,Supermarket Type1,20
FDX35,5.035,2,0.080236064,9,226.4036,OUT018,2,Tier 3,Supermarket Type2,15
NCB06,17.6,1,0.082332074,2,160.392,OUT046,1,Tier 1,Supermarket Type1,27
FDY45,17.5,1,0.0,1,255.2356,OUT013,3,Tier 3,Supermarket Type1,37
FDE02,8.71,1,0.121227447,12,95.2778,OUT035,1,Tier 2,Supermarket Type1,20
FDV34,10.695,2,0.011425458,1,73.6038,OUT046,1,Tier 1,Supermarket Type1,27
FDS59,14.8,2,0.043961689,9,109.157,OUT049,2,Tier 1,Supermarket Type1,25
NCK54,12.15,1,0.029523375,3,117.215,OUT046,1,Tier 1,Supermarket Type1,27
DRE03,19.6,1,0.024206741,6,47.0718,OUT013,3,Tier 3,Supermarket Type1,37
NCC55,10.695,1,0.063862271,3,38.1848,OUT049,2,Tier 1,Supermarket Type1,25
NCR41,17.85,1,0.018020588,2,94.4094,OUT035,1,Tier 2,Supermarket Type1,20
DRG49,7.81,1,0.067442541,8,244.7486,OUT035,1,Tier 2,Supermarket Type1,20
FDY13,12.1,1,0.030127406,12,74.567,OUT046,1,Tier 1,Supermarket Type1,27
FDY35,17.6,2,0.016014343,9,44.0402,OUT013,3,Tier 3,Supermarket Type1,37
NCU18,15.1,1,0.055926872,3,141.4496,OUT049,2,Tier 1,Supermarket Type1,25
FDY33,14.5,2,0.097597084,1,158.5262,OUT018,2,Tier 3,Supermarket Type2,15
FDU01,20.25,2,0.0,12,186.4924,OUT049,2,Tier 1,Supermarket Type1,25
NCU42,9.0,1,0.019506654,3,169.5474,OUT046,1,Tier 1,Supermarket Type1,27
NCV29,11.8,1,0.022936556,2,177.6686,OUT018,2,Tier 3,Supermarket Type2,15
FDQ46,7.51,1,0.103974431,1,112.1544,OUT049,2,Tier 1,Supermarket Type1,25
NCT42,5.88,1,0.024866609,3,148.3392,OUT013,3,Tier 3,Supermarket Type1,37
DRN59,15.0,1,0.064129493,8,45.906,OUT035,1,Tier 2,Supermarket Type1,20
FDI44,16.1,1,0.100213917,2,79.0328,OUT035,1,Tier 2,Supermarket Type1,20
FDA45,21.25,1,0.155621254,1,178.237,OUT049,2,Tier 1,Supermarket Type1,25
FDY01,11.8,2,0.170283492,12,115.1834,OUT046,1,Tier 1,Supermarket Type1,27
FDT09,15.15,2,0.012313256,1,132.8284,OUT018,2,Tier 3,Supermarket Type2,15
FDA36,5.985,1,0.005689466,5,186.6924,OUT018,2,Tier 3,Supermarket Type2,15
FDG14,9.0,2,0.050579228,12,151.3024,OUT049,2,Tier 1,Supermarket Type1,25
FDU14,17.75,1,0.034806679,6,250.175,OUT049,2,Tier 1,Supermarket Type1,25
FDI56,7.325,1,0.093530571,2,90.4146,OUT049,2,Tier 1,Supermarket Type1,25
DRD01,12.1,2,0.061124626,8,56.4614,OUT013,3,Tier 3,Supermarket Type1,37
FDM22,14.0,2,0.0,1,54.864,OUT046,1,Tier 1,Supermarket Type1,27
FDH33,12.85,1,0.121624114,1,42.2428,OUT013,3,Tier 3,Supermarket Type1,37
DRZ24,7.535,1,0.081719458,8,118.444,OUT013,3,Tier 3,Supermarket Type1,37
NCQ38,16.35,1,0.01336643,12,105.228,OUT046,1,Tier 1,Supermarket Type1,27
NCB07,19.2,1,0.077443049,3,194.511,OUT013,3,Tier 3,Supermarket Type1,37
DRK49,14.15,1,0.036090136,8,41.1138,OUT018,2,Tier 3,Supermarket Type2,15
NCG19,20.25,1,0.147933567,3,235.3616,OUT046,1,Tier 1,Supermarket Type1,27
FDH12,9.6,1,0.084937598,5,105.028,OUT035,1,Tier 2,Supermarket Type1,20
FDM32,20.5,1,0.020601136,2,91.683,OUT035,1,Tier 2,Supermarket Type1,20
FDM27,12.35,2,0.158439388,7,156.0946,OUT035,1,Tier 2,Supermarket Type1,20
NCQ18,15.75,1,0.135072801,3,99.17,OUT046,1,Tier 1,Supermarket Type1,27
FDS10,19.2,1,0.035156307,1,179.1318,OUT013,3,Tier 3,Supermarket Type1,37
FDI12,9.395,2,0.100315391,5,85.8856,OUT013,3,Tier 3,Supermarket Type1,37
NCW42,18.2,1,0.058420325,3,221.4456,OUT013,3,Tier 3,Supermarket Type1,37
NCC06,19.0,1,0.027096298,3,128.6336,OUT018,2,Tier 3,Supermarket Type2,15
FDM57,11.65,2,0.076158144,1,82.9908,OUT018,2,Tier 3,Supermarket Type2,15
FDK56,9.695,1,0.129998012,2,185.1898,OUT046,1,Tier 1,Supermarket Type1,27
FDW20,20.75,1,0.024247803,2,123.973,OUT018,2,Tier 3,Supermarket Type2,15
FDS52,8.89,1,0.005483027,4,100.4016,OUT049,2,Tier 1,Supermarket Type1,25
NCT29,12.6,1,0.064371885,2,119.8414,OUT018,2,Tier 3,Supermarket Type2,15
NCL54,12.6,1,0.082684949,3,176.6054,OUT013,3,Tier 3,Supermarket Type1,37
FDF34,9.3,2,0.014016743,1,196.8084,OUT035,1,Tier 2,Supermarket Type1,20
FDZ40,8.935,1,0.04017515,4,54.1298,OUT035,1,Tier 2,Supermarket Type1,20
FDD51,11.15,1,0.120441348,6,43.7744,OUT018,2,Tier 3,Supermarket Type2,15
FDN31,11.5,1,0.073178424,2,189.153,OUT018,2,Tier 3,Supermarket Type2,15
FDN20,19.35,1,0.026222599,2,169.0474,OUT049,2,Tier 1,Supermarket Type1,25
DRL01,19.5,2,0.0,8,233.1958,OUT046,1,Tier 1,Supermarket Type1,27
FDV56,16.1,2,0.01361686,2,107.2596,OUT049,2,Tier 1,Supermarket Type1,25
FDX32,15.1,2,0.099858247,2,146.4786,OUT046,1,Tier 1,Supermarket Type1,27
FDX57,17.25,2,0.047339698,1,96.5068,OUT049,2,Tier 1,Supermarket Type1,25
FDO49,10.6,2,0.033024663,11,49.3008,OUT013,3,Tier 3,Supermarket Type1,37
DRM48,15.2,1,0.112875322,8,37.2848,OUT035,1,Tier 2,Supermarket Type1,20
FDR16,5.845,2,0.104930609,4,212.3218,OUT013,3,Tier 3,Supermarket Type1,37
NCC19,6.57,1,0.097275225,3,192.682,OUT018,2,Tier 3,Supermarket Type2,15
FDH19,19.35,1,0.033139916,7,175.4738,OUT049,2,Tier 1,Supermarket Type1,25
FDJ46,11.1,1,0.044786137,1,173.4054,OUT013,3,Tier 3,Supermarket Type1,37
FDY08,9.395,2,0.171042873,2,139.9838,OUT035,1,Tier 2,Supermarket Type1,20
FDZ37,8.1,2,0.019764765,12,86.6198,OUT035,1,Tier 2,Supermarket Type1,20
DRY23,9.395,2,0.109540783,8,41.9112,OUT018,2,Tier 3,Supermarket Type2,15
NCZ30,6.59,1,0.026291649,3,121.7098,OUT018,2,Tier 3,Supermarket Type2,15
FDC44,15.6,1,0.173299972,2,113.3518,OUT018,2,Tier 3,Supermarket Type2,15
FDB45,20.85,1,0.021325759,2,104.6306,OUT035,1,Tier 2,Supermarket Type1,20
FDY04,17.7,2,0.042441097,4,163.221,OUT013,3,Tier 3,Supermarket Type1,37
FDM27,12.35,2,0.0,7,158.8946,OUT046,1,Tier 1,Supermarket Type1,27
FDU08,10.3,1,0.027315417,2,98.7042,OUT046,1,Tier 1,Supermarket Type1,27
FDW21,5.34,2,0.005973153,1,99.0358,OUT049,2,Tier 1,Supermarket Type1,25
FDY25,12.0,1,0.033968012,12,181.0976,OUT035,1,Tier 2,Supermarket Type1,20
FDM25,10.695,2,0.060665739,11,173.7712,OUT046,1,Tier 1,Supermarket Type1,27
NCN41,17.0,1,0.052290474,2,122.873,OUT049,2,Tier 1,Supermarket Type1,25
FDZ50,12.8,2,0.079076331,6,183.7608,OUT046,1,Tier 1,Supermarket Type1,27
FDP45,15.7,2,0.030599358,1,251.4724,OUT013,3,Tier 3,Supermarket Type1,37
FDK32,16.25,2,0.048975573,2,151.0682,OUT046,1,Tier 1,Supermarket Type1,27
FDN52,9.395,2,0.13177444,4,87.7198,OUT049,2,Tier 1,Supermarket Type1,25
NCA18,10.1,1,0.05630601,3,117.1492,OUT018,2,Tier 3,Supermarket Type2,15
FDD35,12.15,1,0.025864429,10,121.844,OUT046,1,Tier 1,Supermarket Type1,27
NCK31,10.895,1,0.02704266,12,49.4666,OUT035,1,Tier 2,Supermarket Type1,20
NCT06,17.1,1,0.038737554,3,164.7842,OUT046,1,Tier 1,Supermarket Type1,27
FDT31,19.75,1,0.012445941,2,187.8872,OUT035,1,Tier 2,Supermarket Type1,20
FDT45,15.85,1,0.05740255,1,53.0956,OUT049,2,Tier 1,Supermarket Type1,25
NCR54,16.35,1,0.090702992,3,195.111,OUT049,2,Tier 1,Supermarket Type1,25
NCO18,13.15,1,0.024751688,3,178.2686,OUT018,2,Tier 3,Supermarket Type2,15
FDT13,14.85,1,0.018647294,12,187.5214,OUT018,2,Tier 3,Supermarket Type2,15
FDE09,8.775,1,0.021603383,2,112.2228,OUT046,1,Tier 1,Supermarket Type1,27
FDG45,8.1,1,0.0,2,213.2902,OUT049,2,Tier 1,Supermarket Type1,25
DRH15,8.775,1,0.109890489,6,45.0428,OUT035,1,Tier 2,Supermarket Type1,20
FDC09,15.5,2,0.026302004,2,102.7332,OUT046,1,Tier 1,Supermarket Type1,27
FDV32,7.785,1,0.088708388,2,65.051,OUT046,1,Tier 1,Supermarket Type1,27
FDG12,6.635,2,0.00632491,5,119.1098,OUT035,1,Tier 2,Supermarket Type1,20
FDS32,17.75,2,0.029629236,2,140.1838,OUT013,3,Tier 3,Supermarket Type1,37
NCL55,12.15,1,0.064924087,12,251.204,OUT018,2,Tier 3,Supermarket Type2,15
DRE01,10.1,1,0.167123591,8,243.5512,OUT035,1,Tier 2,Supermarket Type1,20
DRE15,13.35,1,0.017813048,6,77.0012,OUT049,2,Tier 1,Supermarket Type1,25
FDP31,21.1,2,0.161370557,2,64.0168,OUT013,3,Tier 3,Supermarket Type1,37
FDN33,6.305,2,0.123617286,1,93.5436,OUT018,2,Tier 3,Supermarket Type2,15
FDZ59,6.63,2,0.104021582,5,164.85,OUT046,1,Tier 1,Supermarket Type1,27
FDJ07,7.26,1,0.01441152,7,118.415,OUT013,3,Tier 3,Supermarket Type1,37
FDQ45,9.5,2,0.010961524,1,184.4608,OUT018,2,Tier 3,Supermarket Type2,15
FDM46,7.365,1,0.159834724,1,92.512,OUT013,3,Tier 3,Supermarket Type1,37
FDY49,17.2,2,0.012061003,12,166.4184,OUT018,2,Tier 3,Supermarket Type2,15
FDW10,21.2,1,0.0,1,176.137,OUT049,2,Tier 1,Supermarket Type1,25
FDO51,6.785,2,0.042047755,7,44.6112,OUT049,2,Tier 1,Supermarket Type1,25
FDJ40,13.6,2,0.049791265,4,108.7912,OUT018,2,Tier 3,Supermarket Type2,15
FDS20,8.85,1,0.054086343,2,182.2292,OUT018,2,Tier 3,Supermarket Type2,15
FDU45,15.6,2,0.035476594,1,112.4518,OUT013,3,Tier 3,Supermarket Type1,37
FDV02,16.75,1,0.060534179,6,169.4106,OUT035,1,Tier 2,Supermarket Type1,20
FDN09,14.15,1,0.034874689,1,242.2828,OUT046,1,Tier 1,Supermarket Type1,27
FDN23,6.575,2,0.075815345,9,144.6444,OUT018,2,Tier 3,Supermarket Type2,15
FDD14,20.7,1,0.169808455,12,183.4266,OUT046,1,Tier 1,Supermarket Type1,27
FDN13,18.6,1,0.152029528,11,99.3358,OUT035,1,Tier 2,Supermarket Type1,20
FDU46,10.3,2,0.011124197,1,87.454,OUT035,1,Tier 2,Supermarket Type1,20
FDB57,20.25,2,0.018834342,2,222.3772,OUT049,2,Tier 1,Supermarket Type1,25
FDV12,16.7,2,0.0,5,99.6384,OUT049,2,Tier 1,Supermarket Type1,25
FDQ58,7.315,1,0.015289106,1,151.134,OUT013,3,Tier 3,Supermarket Type1,37
FDH52,9.42,2,0.0,4,61.3194,OUT049,2,Tier 1,Supermarket Type1,25
FDM24,6.135,2,0.079650513,5,150.1366,OUT018,2,Tier 3,Supermarket Type2,15
FDK03,12.6,2,0.073858923,6,253.2356,OUT013,3,Tier 3,Supermarket Type1,37
FDQ24,15.7,1,0.0,5,250.6724,OUT049,2,Tier 1,Supermarket Type1,25
FDQ16,19.7,1,0.041908424,4,109.5912,OUT018,2,Tier 3,Supermarket Type2,15
FDU44,12.15,2,0.058377105,2,160.6552,OUT013,3,Tier 3,Supermarket Type1,37
FDR56,15.5,2,0.100765839,2,196.0768,OUT046,1,Tier 1,Supermarket Type1,27
FDV39,11.3,1,0.007291207,7,196.8426,OUT049,2,Tier 1,Supermarket Type1,25
NCS42,8.6,1,0.06969924,3,92.6146,OUT018,2,Tier 3,Supermarket Type2,15
FDB21,7.475,1,0.148751515,2,241.8854,OUT049,2,Tier 1,Supermarket Type1,25
FDA48,12.1,1,0.115052659,5,222.6114,OUT049,2,Tier 1,Supermarket Type1,25
NCV18,6.775,1,0.105245865,3,81.925,OUT046,1,Tier 1,Supermarket Type1,27
NCA42,6.965,1,0.028664878,3,159.0604,OUT018,2,Tier 3,Supermarket Type2,15
FDY45,17.5,1,0.026142114,1,256.3356,OUT046,1,Tier 1,Supermarket Type1,27
FDM57,11.65,2,0.075786047,1,85.3908,OUT013,3,Tier 3,Supermarket Type1,37
FDT44,16.6,1,0.102967068,2,118.8466,OUT035,1,Tier 2,Supermarket Type1,20
FDX26,17.7,1,0.087945039,6,183.3292,OUT049,2,Tier 1,Supermarket Type1,25
FDK32,16.25,2,0.048934817,2,153.0682,OUT013,3,Tier 3,Supermarket Type1,37
DRA12,11.6,1,0.040945898,8,142.9154,OUT046,1,Tier 1,Supermarket Type1,27
FDE52,10.395,2,0.029861927,6,86.6514,OUT013,3,Tier 3,Supermarket Type1,37
FDV08,7.35,1,0.028589521,2,42.0454,OUT035,1,Tier 2,Supermarket Type1,20
FDB47,8.8,1,0.071720362,1,210.6612,OUT018,2,Tier 3,Supermarket Type2,15
FDD22,10.0,1,0.099649694,1,113.7544,OUT046,1,Tier 1,Supermarket Type1,27
FDG32,19.85,1,0.176712457,2,222.9772,OUT018,2,Tier 3,Supermarket Type2,15
FDS08,5.735,1,0.05704978,2,175.037,OUT049,2,Tier 1,Supermarket Type1,25
FDQ19,7.35,2,0.014362412,2,241.1512,OUT035,1,Tier 2,Supermarket Type1,20
FDZ27,7.935,1,0.017226149,6,48.635,OUT018,2,Tier 3,Supermarket Type2,15
FDT04,17.25,1,0.107041738,4,41.2822,OUT046,1,Tier 1,Supermarket Type1,27
DRC13,8.26,2,0.03249201,8,124.773,OUT049,2,Tier 1,Supermarket Type1,25
FDE38,6.52,1,0.044598726,12,167.7842,OUT035,1,Tier 2,Supermarket Type1,20
FDD09,13.5,1,0.021492339,2,179.6976,OUT035,1,Tier 2,Supermarket Type1,20
FDR07,21.35,1,0.077729209,2,97.0094,OUT035,1,Tier 2,Supermarket Type1,20
FDY26,20.6,2,0.030557961,6,210.2244,OUT049,2,Tier 1,Supermarket Type1,25
FDN60,15.1,1,0.095306027,5,157.1604,OUT049,2,Tier 1,Supermarket Type1,25
FDP46,15.35,1,0.074731622,1,87.883,OUT049,2,Tier 1,Supermarket Type1,25
NCQ29,12.0,1,0.104392185,2,258.8278,OUT049,2,Tier 1,Supermarket Type1,25
FDX33,9.195,2,0.117963418,1,161.1578,OUT018,2,Tier 3,Supermarket Type2,15
FDN22,18.85,2,0.138305372,1,251.1724,OUT046,1,Tier 1,Supermarket Type1,27
FDF39,14.85,2,0.0,6,261.691,OUT049,2,Tier 1,Supermarket Type1,25
NCM42,6.13,1,0.028297924,3,107.1912,OUT013,3,Tier 3,Supermarket Type1,37
FDH35,18.25,1,0.06049406,10,163.9526,OUT018,2,Tier 3,Supermarket Type2,15
FDP60,17.35,1,0.056146632,5,99.5016,OUT018,2,Tier 3,Supermarket Type2,15
FDE38,6.52,1,0.044676513,12,167.6842,OUT049,2,Tier 1,Supermarket Type1,25
FDI04,13.65,2,0.073025792,4,198.6426,OUT049,2,Tier 1,Supermarket Type1,25
FDT56,16.0,2,0.115772125,2,58.9246,OUT049,2,Tier 1,Supermarket Type1,25
DRD15,10.6,1,0.057027285,6,232.3642,OUT018,2,Tier 3,Supermarket Type2,15
FDV58,20.85,1,0.0,1,193.8452,OUT013,3,Tier 3,Supermarket Type1,37
FDP21,7.42,2,0.025780862,1,187.0872,OUT049,2,Tier 1,Supermarket Type1,25
FDH05,14.35,2,0.090837986,4,232.7984,OUT013,3,Tier 3,Supermarket Type1,37
FDF33,7.97,1,0.02156897,7,106.4596,OUT049,2,Tier 1,Supermarket Type1,25
DRK37,5.0,1,0.0,8,188.353,OUT013,3,Tier 3,Supermarket Type1,37
FDT58,9.0,1,0.085883187,1,167.4816,OUT013,3,Tier 3,Supermarket Type1,37
